19.3015 	WARNING 	t of last frame was 27.34ms (=1/36)
19.3195 	WARNING 	t of last frame was 17.93ms (=1/55)
40.9448 	DATA 	Keypress: right
44.1515 	DATA 	Keypress: left
44.3777 	DATA 	Keypress: left
47.8869 	DATA 	Keypress: left
47.9748 	DATA 	Keypress: right
48.1099 	DATA 	Keypress: left
48.2549 	DATA 	Keypress: right
48.3372 	DATA 	Keypress: left
52.4174 	DATA 	Keypress: left
53.1700 	DATA 	Keypress: right
56.2168 	DATA 	Keypress: left
56.2489 	DATA 	Keypress: right
59.8475 	DATA 	Keypress: right
59.8646 	DATA 	Keypress: left
63.2367 	DATA 	Keypress: left
63.4473 	DATA 	Keypress: right
66.9666 	DATA 	Keypress: left
68.5380 	DATA 	Keypress: right
72.1997 	DATA 	Keypress: right
73.4197 	DATA 	Keypress: left
76.8152 	DATA 	Keypress: right
80.7019 	DATA 	Keypress: right
84.6846 	DATA 	Keypress: right
88.4827 	DATA 	Keypress: right
92.8645 	DATA 	Keypress: escape
