8.4900 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1920, 1200]. Using actual size
1.3933 	DATA 	Keypress: right
4.3772 	DATA 	Keypress: right
8.2528 	DATA 	Keypress: right
12.1284 	DATA 	Keypress: right
15.9210 	DATA 	Keypress: right
19.8623 	DATA 	Keypress: right
24.8158 	DATA 	Keypress: right
28.2734 	DATA 	Keypress: right
33.7383 	DATA 	Keypress: escape
